Tamanho do Vetor;Tempo de Execução Estático;Tempo de Execução Distribuido
50000;0.005346961;0.033996673
55000;0.005507967;0.024788296
60000;8.16253E-4;0.020313665
65000;2.40566E-4;0.012824332
70000;7.6979E-5;0.012375242
75000;6.8637E-5;0.01295903
80000;7.338E-5;0.013165204
85000;7.7286E-5;0.01535965
90000;9.4506E-5;0.012201778
95000;8.3377E-5;0.012657506
100000;9.1216E-5;0.013168362
105000;9.2241E-5;0.012989118
110000;9.986E-5;0.013275518
115000;1.02146E-4;0.013702945
120000;1.05377E-4;0.014506627
125000;1.0876E-4;0.015249194
130000;1.17139E-4;0.013744393
135000;1.20438E-4;0.013898611
140000;1.34296E-4;0.01392073
145000;1.25832E-4;0.015628697
150000;1.3712E-4;0.017140828
155000;1.41362E-4;0.016306125
160000;1.41606E-4;0.017539319
165000;1.47988E-4;0.016857694
170000;1.51269E-4;0.01635964
175000;1.52596E-4;0.016996479
180000;1.60211E-4;0.017705217
185000;1.60755E-4;0.018190918
190000;1.70767E-4;0.017326407
195000;1.69583E-4;0.018851858
200000;1.7313E-4;0.019167998
205000;1.83256E-4;0.01997595
210000;1.90206E-4;0.020054191
215000;1.85519E-4;0.020553879
220000;2.01956E-4;0.02088231
225000;1.99752E-4;0.020995772
230000;2.0498E-4;0.022144622
235000;2.0795E-4;0.021958815
240000;2.19903E-4;0.021719754
245000;2.18763E-4;0.02446192
250000;2.16504E-4;0.023191316
255000;2.24266E-4;0.024799912
260000;2.31763E-4;0.023141532
265000;2.29646E-4;0.022728356
270000;2.40395E-4;0.024590542
275000;2.37604E-4;0.023853205
280000;2.41929E-4;0.024854238
285000;2.61196E-4;0.024267372
290000;2.6004E-4;0.02514822
295000;3.1428E-4;0.02666035
300000;2.67353E-4;0.027117194
305000;2.63544E-4;0.025540601
310000;2.69177E-4;0.028703205
315000;2.72412E-4;0.027303144
320000;2.87622E-4;0.029552534
325000;2.7924E-4;0.026229917
330000;2.9443E-4;0.032781518
335000;2.90116E-4;0.029598394
340000;2.93238E-4;0.031365373
345000;3.40872E-4;0.029409494
350000;3.76355E-4;0.029515641
355000;3.0577E-4;0.031833161
360000;3.31731E-4;0.030813776
365000;3.27067E-4;0.036699062
370000;3.20419E-4;0.032166371
375000;3.36663E-4;0.031687869
380000;3.28904E-4;0.034350415
385000;3.33705E-4;0.033214483
390000;3.48201E-4;0.031919066
395000;3.40995E-4;0.038292522
400000;3.47794E-4;0.036304653
405000;3.51426E-4;0.03730766
410000;3.78527E-4;0.036698656
415000;3.58594E-4;0.036015563
420000;3.65017E-4;0.04093201
425000;3.66617E-4;0.038356622
430000;3.77553E-4;0.035885986
435000;3.87164E-4;0.043440042
440000;3.79802E-4;0.039687584
445000;3.85337E-4;0.043396123
450000;4.18454E-4;0.040304206
455000;3.93338E-4;0.03935455
460000;3.96267E-4;0.036503875
465000;4.27959E-4;0.039901104
470000;4.25549E-4;0.046759895
475000;4.21927E-4;0.046706935
480000;4.16081E-4;0.038616538
485000;4.18159E-4;0.040396601
490000;4.30339E-4;0.041286583
495000;4.27752E-4;0.046657133
500000;4.42913E-4;0.041961754
