Tamanho do Vetor;Tempo de Execução Estático;Tempo de Execução Distribuido
50000;0.005368813;0.038100949
55000;0.002021126;0.02584465
60000;2.77295E-4;0.018709388
65000;7.1872E-5;0.014435501
70000;6.3691E-5;0.013582124
75000;6.987E-5;0.012819542
80000;1.06146E-4;0.013744089
85000;7.4022E-5;0.013497944
90000;8.1726E-5;0.014188387
95000;8.2567E-5;0.014046345
100000;8.7359E-5;0.014574044
105000;9.2289E-5;0.014890229
110000;9.8895E-5;0.015698947
115000;1.01901E-4;0.015207349
120000;1.05002E-4;0.01524737
125000;1.0862E-4;0.016858156
130000;1.16194E-4;0.016313902
135000;1.17554E-4;0.015975913
140000;1.34672E-4;0.01700304
145000;1.38693E-4;0.016719285
150000;1.3237E-4;0.017111907
155000;1.41001E-4;0.019449898
160000;1.40136E-4;0.017931032
165000;1.43362E-4;0.017740589
170000;1.47132E-4;0.018203036
175000;1.51809E-4;0.018530743
180000;1.56129E-4;0.020300083
185000;1.64488E-4;0.018657744
190000;1.6416E-4;0.019680934
195000;1.69348E-4;0.019944946
200000;1.72393E-4;0.02026991
205000;1.76752E-4;0.020425039
210000;1.9585E-4;0.020782859
215000;1.86124E-4;0.021573349
220000;1.89173E-4;0.022836332
225000;1.94464E-4;0.022341067
230000;2.05327E-4;0.026178535
235000;2.02236E-4;0.0243848
240000;2.07322E-4;0.024380229
245000;2.12439E-4;0.025272503
250000;2.22348E-4;0.02433444
255000;2.23862E-4;0.025703359
260000;2.31206E-4;0.028109452
265000;2.35281E-4;0.026478019
270000;2.33423E-4;0.026883154
275000;2.37257E-4;0.025974558
280000;2.41871E-4;0.026712561
285000;2.55679E-4;0.028103148
290000;2.49948E-4;0.027717648
295000;2.65039E-4;0.028302178
300000;2.58471E-4;0.038810946
305000;2.62216E-4;0.029718238
310000;2.67959E-4;0.033345842
315000;2.72683E-4;0.029704433
320000;2.75197E-4;0.029898838
325000;2.80179E-4;0.029869805
330000;2.9503E-4;0.033993154
335000;2.8976E-4;0.030943488
340000;2.99071E-4;0.031057076
345000;2.9602E-4;0.032397469
350000;3.0154E-4;0.032526883
355000;3.07138E-4;0.037066715
360000;3.08768E-4;0.036073353
365000;3.25129E-4;0.03904605
370000;3.19666E-4;0.034228302
375000;3.25884E-4;0.034324917
380000;3.28686E-4;0.035218314
385000;3.32694E-4;0.035148106
390000;3.52899E-4;0.035566814
395000;3.42685E-4;0.03930007
400000;3.44533E-4;0.037486042
405000;3.5066E-4;0.038350895
410000;3.66703E-4;0.038537775
415000;3.59449E-4;0.038545773
420000;3.63866E-4;0.038214117
425000;3.66661E-4;0.042162818
430000;3.72164E-4;0.038922951
435000;4.04108E-4;0.038891849
440000;3.79044E-4;0.039649429
445000;3.85674E-4;0.039892117
450000;3.87086E-4;0.043539231
455000;3.92321E-4;0.04483826
460000;4.00469E-4;0.042938881
465000;4.16683E-4;0.044850968
470000;4.42663E-4;0.044654102
475000;4.26058E-4;0.050841827
480000;4.14406E-4;0.044617028
485000;4.17826E-4;0.044524978
490000;4.23697E-4;0.045017652
495000;4.27165E-4;0.0439684
500000;4.30633E-4;0.048988409
