Tamanho do Vetor;Tempo de Execução Estático;Tempo de Execução Distribuido
500;134357.0;1.7100901E7
1000;183538.0;8643739.0
1500;178759.0;1.1852228E7
2000;237154.0;7977400.0
2500;502665.0;9343607.0
3000;340783.0;5199125.0
3500;569630.0;9993017.0
4000;660026.0;1.2781845E7
4500;731923.0;1.0291711E7
5000;4074158.0;1.2510751E7
5500;842037.0;2.50957E7
6000;1071820.0;3.2000843E7
6500;1039793.0;1.2101084E7
7000;1196692.0;2.587057E7
7500;1212398.0;1.6809889E7
8000;1339004.0;8605594.0
8500;539005.0;4.9165017E7
9000;391115.0;6458708.0
9500;337283.0;6578255.0
10000;354216.0;8552894.0
10500;444266.0;9079689.0
11000;331036.0;8448052.0
11500;485444.0;1.2073282E7
12000;494535.0;7485983.0
12500;52473.0;5560653.0
13000;41686.0;6572881.0
13500;24043.0;5957757.0
14000;25869.0;7476738.0
14500;32200.0;7162732.0
15000;48218.0;6634705.0
15500;50008.0;7762720.0
16000;53578.0;8161735.0
16500;44149.0;7760405.0
17000;56282.0;6208872.0
17500;56498.0;6690429.0
18000;35558.0;6267485.0
18500;61373.0;7341375.0
19000;31036.0;5467940.0
19500;29418.0;5389767.0
20000;37224.0;5381157.0
20500;31603.0;5212262.0
21000;33589.0;5381740.0
21500;36047.0;6306914.0
22000;37272.0;5764452.0
22500;46564.0;5850401.0
23000;35720.0;6123791.0
23500;36757.0;5947628.0
24000;40721.0;6185498.0
24500;46200.0;6035513.0
25000;37144.0;6730470.0
25500;44071.0;6033538.0
26000;40880.0;6738742.0
26500;61025.0;6295789.0
27000;44173.0;6319355.0
27500;54282.0;7530173.0
28000;52995.0;6601518.0
28500;43161.0;6924617.0
29000;60729.0;7046606.0
29500;44864.0;6898480.0
30000;62339.0;7252725.0
30500;44386.0;7601678.0
31000;48919.0;6716682.0
31500;47916.0;7029910.0
32000;53542.0;7096893.0
32500;47496.0;7422530.0
33000;49883.0;7552264.0
33500;55485.0;7764448.0
34000;55653.0;7717526.0
34500;57394.0;8128765.0
35000;55105.0;8046819.0
35500;62978.0;7562052.0
36000;77354.0;7758835.0
36500;54188.0;7945223.0
37000;63662.0;7883523.0
37500;55442.0;8018112.0
38000;56774.0;1.4575397E7
38500;134277.0;1.1708459E7
39000;67104.0;1.0496437E7
39500;83576.0;1.1272193E7
40000;67542.0;8091584.0
40500;57859.0;8400941.0
41000;70855.0;8580336.0
41500;59284.0;8613673.0
42000;65702.0;9642986.0
42500;73185.0;9333473.0
43000;62261.0;9463035.0
43500;69842.0;9286874.0
44000;66396.0;9458576.0
44500;71262.0;1.1517339E7
45000;63819.0;9750715.0
45500;64238.0;9781279.0
46000;72043.0;9757652.0
46500;66139.0;9843361.0
47000;70619.0;1.0014898E7
47500;77400.0;1.3065488E7
48000;71382.0;9899786.0
48500;68735.0;1.0021662E7
49000;69419.0;1.0742264E7
49500;72632.0;1.0212133E7
50000;82125.0;1.0773952E7
50500;77130.0;1.0815512E7
51000;87372.0;1.056095E7
51500;72945.0;1.093079E7
52000;73841.0;1.0629553E7
52500;75033.0;1.0990492E7
53000;79906.0;1.1717664E7
53500;96726.0;1.4280878E7
54000;179664.0;1.7566692E7
54500;77010.0;1.2043735E7
55000;119399.0;1.3154471E7
55500;94686.0;1.0754886E7
56000;87742.0;1.0510128E7
56500;90703.0;1.5902719E7
57000;103147.0;1.2263534E7
57500;99278.0;1.1881367E7
58000;81400.0;1.1126956E7
58500;87859.0;1.1123902E7
59000;83215.0;1.1189726E7
59500;83554.0;1.1078144E7
60000;84067.0;1.1477636E7
60500;85141.0;1.2314716E7
61000;89311.0;1.1819451E7
61500;98878.0;1.5456408E7
62000;107377.0;1.4762827E7
62500;92422.0;1.2133219E7
63000;103787.0;1.8847916E7
63500;94013.0;1.2772507E7
64000;90284.0;1.2351029E7
64500;90621.0;1.2249338E7
65000;90887.0;1.2641093E7
65500;98082.0;1.2599511E7
66000;123472.0;1.4638715E7
66500;109618.0;1.3674682E7
67000;113499.0;1.4855414E7
67500;100692.0;1.4197175E7
68000;156153.0;1.3091754E7
68500;112739.0;1.2681316E7
69000;96583.0;1.2666405E7
69500;97460.0;1.281724E7
70000;105927.0;1.3126839E7
70500;104826.0;1.2621205E7
71000;115639.0;1.3526941E7
71500;99937.0;1.32825E7
72000;103942.0;1.3652357E7
72500;108410.0;1.3434955E7
73000;114851.0;1.4019408E7
73500;102867.0;1.3167539E7
74000;104061.0;1.3518386E7
