Tamanho do Vetor;Tempo de Execução Estático;Tempo de Execução Distribuido
500;129967.0;2.2941816E7
1000;132688.0;1.3905774E7
1500;291961.0;2.514871E7
2000;254931.0;9476657.0
2500;477897.0;1.8629755E7
3000;471578.0;1.4626462E7
3500;353947.0;6670088.0
4000;402691.0;6369265.0
4500;459263.0;1.3145552E7
5000;3575805.0;1.7185072E7
5500;918078.0;3.6020129E7
6000;950399.0;4.4407912E7
6500;1111713.0;1.5426789E7
7000;1152259.0;8977701.0
7500;1276828.0;8992140.0
8000;815071.0;1.2056453E7
8500;368246.0;7626561.0
9000;346566.0;3.2170323E7
9500;378504.0;8002121.0
10000;368261.0;7908222.0
10500;432360.0;8943240.0
11000;406436.0;8196556.0
11500;417025.0;1.1229254E7
12000;459490.0;8848421.0
12500;476063.0;8941226.0
13000;475253.0;9670763.0
13500;454533.0;4.9813225E7
14000;389876.0;2.2874299E7
14500;479396.0;1.0837433E7
15000;495324.0;9217723.0
15500;473416.0;1.1210734E7
16000;486693.0;1.9371711E7
16500;517249.0;3.4747609E7
17000;92496.0;2.6121412E7
17500;56300.0;1.2061417E7
18000;58135.0;1.1473927E7
18500;55416.0;9760466.0
19000;55194.0;1.1153224E7
19500;61616.0;1.1516121E7
20000;62736.0;3.4485784E7
20500;65769.0;3.1008164E7
21000;66193.0;9451083.0
21500;59861.0;1.0434241E7
22000;66869.0;1.2386138E7
22500;65301.0;1.2157512E7
23000;67206.0;1.2100592E7
23500;58507.0;3.8695468E7
24000;71077.0;1.8961997E7
24500;77521.0;9304460.0
25000;78206.0;1.0450376E7
25500;78809.0;9111207.0
26000;77876.0;2.0744089E7
26500;86053.0;8389398.0
27000;85924.0;2.629705E7
27500;74944.0;1.6231355E7
28000;78010.0;1.2010773E7
28500;83153.0;1.0464199E7
29000;85135.0;8840442.0
29500;88662.0;1.0777218E7
30000;82662.0;1.0033278E7
30500;79992.0;1.2307648E7
31000;94320.0;1.4793822E7
31500;91226.0;1.3299868E7
32000;99188.0;9769546.0
32500;103032.0;9773168.0
33000;106774.0;1.0056375E7
33500;96408.0;1.1834285E7
34000;105099.0;1.1685842E7
34500;106323.0;1.2142711E7
35000;84689.0;1.3569862E7
35500;116467.0;9724702.0
